NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,OCTO_RECORD_ID,ANC,REPORT_DAT,METHOD,location,LATITUDE
cluster 3,3400,property,-77.02189726,2020-02-07T11:08:23.000,theft/other,day,138793,3,1,2020,property,theft/other,3D2,306,6,003400 2,precinct 37,398101,2000 - 2099 block of georgia avenue nw,2020-02-07T09:04:57.000,20023055,theft/other,20023055-01,1B,2020-02-07T16:08:13.000Z,others,"38.917010777847949,-77.021899549138823",38.91700299
cluster 2,3000,property,-77.03259154,2020-02-07T17:18:33.000,theft/other,evening,140033,3,1,2020,property,theft/other,3D1,302,6,003000 2,precinct 39,397174,3000 - 3099 block of 14th street nw,2020-02-07T16:50:41.000,20023263,theft/other,20023263-01,1A,2020-02-13T22:58:43.000Z,others,"38.928178605431327,-77.032593839842562",38.92817081
cluster 2,2702,property,-77.03824408,2020-02-10T16:29:33.000,theft/other,evening,140342,3,1,2020,property,theft/other,3D1,302,6,002702 1,precinct 39,396684,3169 - 3199 block of mount pleasant street nw,2020-02-10T16:10:01.000,20024994,theft/other,20024994-01,1D,2020-02-10T21:29:24.000Z,others,"38.93096046067209,-77.038246380365493",38.93095267
cluster 2,2702,property,-77.0400666,2020-02-12T16:00:57.000,theft/other,evening,140396,3,1,2020,property,theft/other,3D1,302,6,002702 2,precinct 40,396526,1700 - 1799 block of lamont street nw,2020-02-12T15:00:51.000,20026385,theft/other,20026385-01,1D,2020-02-13T01:03:14.000Z,others,"38.931446298738926,-77.04006889928884",38.93143851
cluster 2,3000,property,-77.03259154,2020-02-13T19:24:40.000,theft/other,midnight,140033,3,1,2020,property,theft/other,3D1,302,6,003000 2,precinct 39,397174,3000 - 3099 block of 14th street nw,2020-02-13T18:31:06.000,20026996,theft/other,20026996-01,1A,2020-02-14T04:38:27.000Z,others,"38.928178605431327,-77.032593839842562",38.92817081
cluster 3,3400,property,-77.01454058,2020-02-07T21:09:34.000,theft/other,evening,138827,3,1,2020,property,theft/other,3D2,306,6,003400 1,precinct 20,398739,1950 - 2035 block of 2nd street nw,2020-02-07T20:42:46.000,20023410,theft/other,20023410-01,1B,2020-02-08T02:09:08.000Z,others,"38.917318208432732,-77.014542868847613",38.91731042
cluster 2,3600,property,-77.0311032,2020-02-12T15:25:16.000,theft/other,evening,139874,3,1,2020,property,theft/other,3D1,304,6,003600 2,precinct 36,397303,1300 - 1399 block of harvard street nw,2020-02-11T02:40:28.000,20026190,theft/other,20026190-01,1A,2020-02-12T20:34:16.000Z,others,"38.926746688903805,-77.031105490213832",38.9267389
cluster 3,4400,property,-77.02464162,N/A,theft/other,midnight,138792,3,1,2020,property,theft/other,3D2,305,6,004400 1,precinct 37,397863,1900 - 1931 block of u street nw,2020-02-08T02:05:08.000,20023583,theft/other,20023583-01,1B,2020-02-08T07:50:59.000Z,others,"38.917001222912127,-77.024643910810752",38.91699343
cluster 2,2802,property,-77.03600454,2020-02-08T10:30:06.000,theft/other,day,139879,3,1,2020,property,theft/other,3D1,302,6,002802 1,precinct 39,396878,1500 - 1599 block of columbia road nw,2020-02-08T10:12:26.000,20023714,theft/other,20023714-01,1A,2020-02-08T16:10:55.000Z,others,"38.926790323088021,-77.036006833264906",38.92678253
cluster 2,2802,property,-77.03273055,2020-02-08T18:06:56.000,theft/other,evening,140182,3,1,2020,property,theft/other,3D1,302,6,002802 2,precinct 39,397162,3100 - 3299 block of 14th street nw,2020-02-08T17:13:52.000,20023884,theft/other,20023884-01,1A,2020-02-09T02:50:26.000Z,others,"38.929520805242319,-77.03273284903338",38.92951301
cluster 3,4400,property,-77.03078761,2020-02-13T18:54:19.000,theft/other,midnight,138792,3,1,2020,property,theft/other,3D2,305,6,004400 2,precinct 22,397330,1300 - 1399 block of u street nw,2020-02-13T18:44:28.000,20027015,theft/other,20027015-01,1B,2020-02-14T04:09:19.000Z,others,"38.916999764995531,-77.030789903270502",38.91699197
cluster 2,2702,property,-77.03800156,N/A,theft/other,midnight,140274,3,1,2020,property,theft/other,3D1,302,6,002702 1,precinct 39,396705,3140 - 3172 block of mount pleasant street nw,2020-02-10T04:05:31.000,20024708,theft/other,20024708-01,1D,2020-02-10T09:35:28.000Z,others,"38.930347974686356,-77.038003856661788",38.93034018
cluster 2,2802,property,-77.03273055,2020-02-07T16:49:40.000,theft/other,evening,140182,3,1,2020,property,theft/other,3D1,302,6,002802 2,precinct 39,397162,3100 - 3299 block of 14th street nw,2020-02-07T16:10:30.000,20023236,theft/other,20023236-01,1A,2020-02-09T01:30:05.000Z,others,"38.929520805242319,-77.03273284903338",38.92951301
cluster 3,4400,property,-77.02886194,2020-02-07T23:55:57.000,theft/other,midnight,138792,3,1,2020,property,theft/other,3D2,305,6,004400 1,precinct 22,397497,1200 - 1299 block of u street nw,2020-02-07T21:39:09.000,20023447,theft/other,20023447-01,1B,2020-02-08T06:19:35.000Z,others,"38.917000256565636,-77.028864235866806",38.91699247
cluster 2,2802,property,-77.03648948,2020-02-12T15:46:45.000,theft/other,evening,140005,3,1,2020,property,theft/other,3D1,302,6,002802 1,precinct 39,396836,3032 - 3099 block of 16th street nw,2020-02-12T15:12:53.000,20026198,theft/other,20026198-01,1A,2020-02-12T21:20:21.000Z,others,"38.927925220458881,-77.036491780227692",38.92791743
cluster 2,2702,property,-77.03718164,2020-02-13T18:36:15.000,theft/other,evening,140047,3,1,2020,property,theft/other,3D1,302,6,002702 2,precinct 39,396776,3020 - 3099 block of mount pleasant street nw,2020-02-13T18:12:52.000,20026985,theft/other,20026985-01,1D,2020-02-14T00:06:47.000Z,others,"38.928303351488694,-77.037183940069909",38.92829556
cluster 2,2702,property,-77.03759736,2020-02-12T19:30:03.000,theft/other,midnight,140161,3,1,2020,property,theft/other,3D1,302,6,002702 1,precinct 39,396740,3100 - 3145 block of mount pleasant street nw,2020-02-12T17:00:21.000,20026999,theft/other,20026999-01,1D,2020-02-14T04:49:34.000Z,others,"38.929330166205204,-77.0375996613311",38.92932237
cluster 2,2802,property,-77.03364129,2020-02-11T13:59:36.000,theft/other,evening,140096,3,1,2020,property,theft/other,3D1,302,6,002802 1,precinct 36,397083,1400 - 1451 block of irving street nw,2020-02-11T13:06:57.000,20025483,theft/other,20025483-01,1A,2020-02-12T03:43:13.000Z,others,"38.92874583170984,-77.033643587883361",38.92873804
cluster 1,4001,property,-77.0477053,2020-02-12T14:00:05.000,theft/other,evening,139091,3,1,2020,property,theft/other,3D3,303,6,004001 3,precinct 25,395863,2300 - 2399 block of ashmead place nw,2020-02-12T13:30:00.000,20026282,theft/other,20026282-01,1C,2020-02-12T22:32:29.000Z,others,"38.919687573422429,-77.047707596484912",38.91967978
cluster 3,4400,property,-77.03196329,2020-02-12T19:05:10.000,theft/other,evening,138674,3,1,2020,property,theft/other,3D2,305,6,004400 2,precinct 22,397228,1900 - 1920 block of 14th street nw,2020-02-12T19:00:46.000,20026374,theft/other,20026374-01,1B,2020-02-13T02:11:47.000Z,others,"38.915936465874481,-77.03196558291944",38.91592868
